,XGBoost_Forecast
2025-05-06 14:00:00,779.2721
2025-05-06 15:00:00,779.2721
2025-05-06 16:00:00,782.4375
2025-05-06 17:00:00,785.2715
2025-05-06 18:00:00,797.0897
2025-05-06 19:00:00,802.7832
2025-05-06 20:00:00,813.8961
2025-05-06 21:00:00,804.81036
2025-05-06 22:00:00,802.21747
2025-05-06 23:00:00,798.90015
2025-05-07 00:00:00,792.6392
2025-05-07 01:00:00,782.74945
2025-05-07 02:00:00,775.8452
2025-05-07 03:00:00,771.247
2025-05-07 04:00:00,767.29895
2025-05-07 05:00:00,766.51605
2025-05-07 06:00:00,768.6341
2025-05-07 07:00:00,775.2507
2025-05-07 08:00:00,777.58826
2025-05-07 09:00:00,777.4207
2025-05-07 10:00:00,776.1499
2025-05-07 11:00:00,776.01715
2025-05-07 12:00:00,774.6489
2025-05-07 13:00:00,774.58655
2025-05-07 14:00:00,774.58655
2025-05-07 15:00:00,774.58655
2025-05-07 16:00:00,777.78937
2025-05-07 17:00:00,780.62335
2025-05-07 18:00:00,794.6033
2025-05-07 19:00:00,802.7832
2025-05-07 20:00:00,814.5294
2025-05-07 21:00:00,804.3084
2025-05-07 22:00:00,802.21747
2025-05-07 23:00:00,799.3292
2025-05-08 00:00:00,793.07654
2025-05-08 01:00:00,789.39075
2025-05-08 02:00:00,782.1237
2025-05-08 03:00:00,775.97046
2025-05-08 04:00:00,771.87683
2025-05-08 05:00:00,772.9264
2025-05-08 06:00:00,775.04443
2025-05-08 07:00:00,779.82855
2025-05-08 08:00:00,782.2147
2025-05-08 09:00:00,782.0472
2025-05-08 10:00:00,780.83545
2025-05-08 11:00:00,780.7027
2025-05-08 12:00:00,779.3345
2025-05-08 13:00:00,779.2721
2025-05-08 14:00:00,779.2721
2025-05-08 15:00:00,779.2721
2025-05-08 16:00:00,782.4375
2025-05-08 17:00:00,785.2715
2025-05-08 18:00:00,797.0897
2025-05-08 19:00:00,802.7832
2025-05-08 20:00:00,813.8961
2025-05-08 21:00:00,804.81036
2025-05-08 22:00:00,802.21747
2025-05-08 23:00:00,798.90015
2025-05-09 00:00:00,792.6392
2025-05-09 01:00:00,782.74945
2025-05-09 02:00:00,775.8452
2025-05-09 03:00:00,771.247
2025-05-09 04:00:00,767.29895
2025-05-09 05:00:00,766.51605
2025-05-09 06:00:00,768.6341
2025-05-09 07:00:00,775.2507
2025-05-09 08:00:00,777.58826
2025-05-09 09:00:00,777.4207
2025-05-09 10:00:00,776.1499
2025-05-09 11:00:00,776.01715
2025-05-09 12:00:00,774.6489
2025-05-09 13:00:00,774.58655
2025-05-09 14:00:00,774.58655
2025-05-09 15:00:00,774.58655
2025-05-09 16:00:00,777.78937
2025-05-09 17:00:00,780.62335
2025-05-09 18:00:00,794.6033
2025-05-09 19:00:00,802.7832
2025-05-09 20:00:00,814.5294
2025-05-09 21:00:00,804.3084
2025-05-09 22:00:00,802.21747
2025-05-09 23:00:00,799.3292
2025-05-10 00:00:00,793.07654
2025-05-10 01:00:00,789.39075
2025-05-10 02:00:00,782.1237
2025-05-10 03:00:00,775.97046
2025-05-10 04:00:00,771.87683
2025-05-10 05:00:00,772.9264
2025-05-10 06:00:00,775.04443
2025-05-10 07:00:00,779.82855
2025-05-10 08:00:00,782.2147
2025-05-10 09:00:00,782.0472
2025-05-10 10:00:00,780.83545
2025-05-10 11:00:00,780.7027
2025-05-10 12:00:00,779.3345
2025-05-10 13:00:00,779.2721
2025-05-10 14:00:00,779.2721
2025-05-10 15:00:00,779.2721
2025-05-10 16:00:00,782.4375
2025-05-10 17:00:00,785.2715
2025-05-10 18:00:00,797.0897
2025-05-10 19:00:00,802.7832
2025-05-10 20:00:00,813.8961
2025-05-10 21:00:00,804.81036
2025-05-10 22:00:00,802.21747
2025-05-10 23:00:00,798.90015
2025-05-11 00:00:00,792.6392
2025-05-11 01:00:00,782.74945
2025-05-11 02:00:00,775.8452
2025-05-11 03:00:00,771.247
2025-05-11 04:00:00,767.29895
2025-05-11 05:00:00,766.51605
2025-05-11 06:00:00,768.6341
2025-05-11 07:00:00,775.2507
2025-05-11 08:00:00,777.58826
2025-05-11 09:00:00,777.4207
2025-05-11 10:00:00,776.1499
2025-05-11 11:00:00,776.01715
2025-05-11 12:00:00,774.6489
2025-05-11 13:00:00,774.58655
2025-05-11 14:00:00,774.58655
2025-05-11 15:00:00,774.58655
2025-05-11 16:00:00,777.78937
2025-05-11 17:00:00,780.62335
2025-05-11 18:00:00,794.6033
2025-05-11 19:00:00,802.7832
2025-05-11 20:00:00,814.5294
2025-05-11 21:00:00,804.5398
2025-05-11 22:00:00,802.44885
2025-05-11 23:00:00,799.3292
2025-05-12 00:00:00,793.07654
2025-05-12 01:00:00,789.39075
2025-05-12 02:00:00,782.1237
2025-05-12 03:00:00,775.97046
2025-05-12 04:00:00,771.87683
2025-05-12 05:00:00,772.9264
2025-05-12 06:00:00,775.04443
2025-05-12 07:00:00,779.82855
2025-05-12 08:00:00,782.2147
2025-05-12 09:00:00,782.0472
2025-05-12 10:00:00,780.83545
2025-05-12 11:00:00,780.7027
2025-05-12 12:00:00,779.3345
2025-05-12 13:00:00,779.2721
2025-05-12 14:00:00,779.2721
2025-05-12 15:00:00,779.2721
2025-05-12 16:00:00,782.4375
2025-05-12 17:00:00,785.2715
2025-05-12 18:00:00,797.0897
2025-05-12 19:00:00,802.7832
2025-05-12 20:00:00,813.8961
2025-05-12 21:00:00,805.04175
2025-05-12 22:00:00,802.44885
2025-05-12 23:00:00,798.90015
2025-05-13 00:00:00,792.6392
2025-05-13 01:00:00,782.74945
2025-05-13 02:00:00,775.8452
2025-05-13 03:00:00,771.247
2025-05-13 04:00:00,767.29895
2025-05-13 05:00:00,766.51605
2025-05-13 06:00:00,768.6341
2025-05-13 07:00:00,775.2507
2025-05-13 08:00:00,777.58826
2025-05-13 09:00:00,777.4207
2025-05-13 10:00:00,776.1499
2025-05-13 11:00:00,776.01715
2025-05-13 12:00:00,774.6489
2025-05-13 13:00:00,774.58655
2025-05-13 14:00:00,774.58655
2025-05-13 15:00:00,774.58655
2025-05-13 16:00:00,777.78937
2025-05-13 17:00:00,780.62335
2025-05-13 18:00:00,794.6033
2025-05-13 19:00:00,802.7832
2025-05-13 20:00:00,814.5294
2025-05-13 21:00:00,804.5398
2025-05-13 22:00:00,802.44885
2025-05-13 23:00:00,799.3292
2025-05-14 00:00:00,793.07654
2025-05-14 01:00:00,789.39075
2025-05-14 02:00:00,782.1237
2025-05-14 03:00:00,775.97046
2025-05-14 04:00:00,771.87683
2025-05-14 05:00:00,772.9264
